y_true,y_pred
0.277583,2.1471335844595885
0.538679,2.562871514120273
3.113238,2.369468035556549
2.373758,2.981923633829811
-0.919956,2.749458490804431
0.806657,3.19022611619296
1.933458,2.769061938253964
4.118681,2.9300278644425926
0.279877,2.1778273610554137
4.047798,2.877796388431368
4.739746,2.2038483038831975
2.908422,3.077548213965037
1.545766,3.1990731994568042
2.165393,3.2237734691134117
4.740398,2.3816416421058775
5.105858,2.2614207524420444
1.360623,3.1651474977529683
-5.761255,2.851559347610568
4.872327,2.4480975556514015
3.872758,3.419874742600559
3.849761,3.339473680856332
3.61665,2.5326285856979283
1.220339,3.1046831166261026
3.385023,2.9625388546475486
3.55727,3.1009030339598005
2.815779,2.8710936872612303
2.747989,3.477965358859224
3.21494,3.1933625464931055
-0.077757,2.2578866323876037
3.899623,3.100183765090358
4.990101,3.009349720853144
2.738666,3.093125780974023
2.552583,2.2365493452641196
3.614703,3.0648374520420067
4.753267,3.292986564039735
3.43998,2.197814041169397
5.669896,2.849249093877929
1.498485,2.7902937299502946
1.334582,3.0821735014821634
2.212674,3.206433007317703
3.624355,3.7116046110722047
2.225518,2.7930884092478983
4.993608,2.8456157948530287
6.106736,2.1672113064164504
6.196138,3.311865433728129
0.650533,2.1494950590062247
-2.645102,2.229323599712732
5.375488,2.2370250045380073
6.185734,3.3572147334615163
1.794201,3.1091990144951676
1.963551,3.305492446306595
-2.140419,2.168214988370853
4.294592,3.1075401204458792
4.233216,2.12244244509629
9.529148,3.8219115323643136
5.860154,2.886704381546596
1.984925,3.056740487126852
0.738207,2.96360568844079
1.007427,2.2297164832050136
1.585487,2.768176077857958
5.485318,2.783968674380811
3.462708,3.0987806539296416
1.919943,2.5884569875992858
2.903414,3.031050469765534
2.225972,2.804165547842418
-0.004258,3.1181586128255887
3.318883,2.3016210887136817
5.907614,2.161161048913774
-4.502272,2.2373477607612773
-5.452795,2.441724556324724
5.503295,2.9657418379772706
3.974744,2.309972574684845
1.23666,3.3272455322269527
4.992429,2.8186049168725686
2.24904,2.7443673976999277
3.542743,3.0653779166823725
4.259508,2.7279483172023458
5.998549,3.0376778529092032
4.945446,2.8655127021563302
3.881242,3.1674592222707916
3.786518,2.8186087502735715
3.052172,2.1700036876122044
4.481132,2.836397919684647
0.788667,3.126076642178097
3.364651,2.8110804061755332
0.243615,2.42693426649498
2.809349,3.3091180523193233
3.766022,2.984383172258628
4.811063,2.219953762144882
1.639775,3.1727101271307316
5.098354,2.348917404848385
3.168942,3.4989231977102526
5.205384,2.2087842911706312
6.018349,2.245553196083753
9.677227,3.8016444802248093
2.02166,2.427044483459708
1.604017,2.2507609431437956
5.346468,3.0097915986769292
-1.976933,3.3480969289999827
5.324641,2.123111266753884
5.955714,3.043083814577205
0.793458,2.7829808403767538
5.787778,3.0116628242320775
1.269673,3.200318035266929
5.133629,3.209770567491763
1.483725,3.139050762973324
1.303039,2.1521508553330344
5.297839,2.872325157071008
1.234297,3.461811324077032
3.211342,3.255553427673024
-1.842095,3.4617074498734106
4.383922,3.1241137659212916
4.400912,3.189845715269965
2.902245,2.8323913110897787
4.07492,2.3045557647761723
2.25949,3.1993673015791515
-0.861726,3.4760214989805926
1.123837,2.203010055357768
2.429938,2.36950986101022
2.892524,3.2203108002746363
2.174914,2.3322533908085954
5.88405,2.114487978000799
4.309739,2.8322281887734926
-0.180336,3.463696851578168
5.867781,3.1230740497298806
4.087723,2.883319645217795
0.680108,3.1474540189030504
2.06064,2.177031271070211
5.698662,2.8417284128878326
-3.041062,2.1157624360673477
0.910905,2.515620947564378
6.538342,2.221259359767922
5.301596,2.2543925255155193
2.075168,3.1891955004848755
2.851828,2.4480867086106697
2.588925,2.3835943757046207
2.695189,3.1879578717621397
-1.177544,2.3450852167370853
5.255445,2.1923712143479035
-0.067915,3.115009717860997
2.053591,2.823594910200571
4.58445,2.123855356323246
6.000285,3.30587806779703
3.661823,2.871217233216688
-2.703831,2.1917952837198733
0.357232,2.2168760164135675
5.465918,3.401395488366505
3.355847,3.116501317295237
-4.990203,2.670387433077738
3.628029,2.189898493766887
4.868877,3.263670304302558
0.009706,3.158219770049493
3.163523,3.0417984843654504
5.966433,2.1843845392167727
4.634697,2.866246586953539
5.056799,3.0938906071745524
2.148495,2.830140605052314
6.739244,3.297628784691256
5.672894,2.871430205791188
3.210598,2.1714560282672117
0.104769,3.2133706628211707
6.414619,2.8092527395263787
2.296855,2.887902390993437
4.404457,2.988903298635097
4.243197,3.4168148301396
2.865945,3.098926648463934
1.769729,3.3546371633217427
0.216727,3.1471436832292223
10.408432,3.818375158323028
3.243862,3.393135610087686
-1.993056,2.1775924186272273
4.378328,2.340688636316074
3.988126,2.3966691843708015
-1.777261,2.1270583563578684
0.249609,2.7665614243927377
2.536614,3.1252237121052397
4.511415,2.984414150671567
-1.199082,2.1769126293005368
3.657988,3.2201770507469645
3.465292,2.1497215599245636
2.72406,3.4164684602287636
2.997123,2.8668070325277637
-2.484311,3.119751381255809
4.522192,2.9659186998956493
5.305313,3.026942641965739
4.690836,2.1192318153635257
-1.330435,3.0393249221627454
3.883796,2.162362459551353
4.88641,3.084233462666197
3.652991,2.1821187958407284
2.222448,2.207499920809051
-3.57828,2.141737937392653
4.859811,2.8390617421101854
3.683755,3.0990275810971877
0.711204,2.143735557349614
1.906563,3.2116880845706515
-0.765146,3.134860552098446
5.944259,2.744269822142407
2.541569,2.97926811687504
5.136272,3.064727944259705
-3.867824,2.177693718956777
3.018117,2.783134629352558
3.632973,2.208448032907935
1.588243,3.0035386856006974
2.633025,2.2075350358053196
5.520064,3.2705814295583178
2.856434,3.093737731439793
